word	-a	-u	syllables	last cons. cluster	all vowels	last vowel	suffix	meaning	semantics
absorber	+	-	3	r	aoe	e	er	"urządzenie służące do absorpcji gazu przez ciecz"	артефакт
abstrakcjonizm	-	+	4	zm	aaoi	i	izm	"kierunek w sztuce współczesnej, którego podstawą jest posługiwanie się formami plastycznymi tworzonymi przez figury geometryczne, kompozycje plam i płaszczyzn"	абстрактное понятие
abstrakt	-	+	2	kt	aa	a		"streszczenie dokumentu lub publikacji naukowej"	
absurd	-	+	2	rd	au	u		"to, co jest pozbawione sensu"	
absurdyzm	-	+	3	zm	auy	y	yzm	NOT FOUND	
absurdzik	-	+	3	k	aui	i	zik	"to, co jest pozbawione sensu"	
absyd	-	+	2	d	ay	y		NOT FOUND	
absynt	-	+	2	nt	ay	y		"piołunówka"	артефакт
abszmak	-	+	2	k	aa	a		"nieprzyjemny smak"	
abszyt	-	+	2	t	ay	y		NOT FOUND	
abutilon	-	+	4	n	auio	o		NOT FOUND	
abuz	-	+	2	z	au	u		NOT FOUND	
abysal	+	+	3	l	aya	a		NOT FOUND	
accusativus	-	+	5	s	auaiu	u		"biernik"	
acenaften	-	+	4	n	aeae	e		NOT FOUND	
acenol	-	+	3	l	aeo	o		NOT FOUND	
acer	+	-	2	r	ae	e		NOT FOUND	
acetal	-	+	3	l	aea	a		"ciecz o przyjemnym zapachu, stosowana w przemyśle farmaceutycznym i perfumeryjnym"	вещество
acetaldehyd	-	+	5	d	aeaey	y		NOT FOUND	
acetamid	-	+	4	d	aeai	i		"ciało krystaliczne, używane m.in. do produkcji tworzyw sztucznych"	
acetanilid	-	+	5	d	aeaii	i		NOT FOUND	
acetarsol	-	+	4	l	aeao	o		NOT FOUND	
acetator	+	-	4	r	aeao	o		NOT FOUND	
acetobacter	-	-	5	r	aeoae	e		NOT FOUND	
acetofenon	-	+	5	n	aeoeo	o		NOT FOUND	
acetometr	-	+	4	tr	aeoe	e		NOT FOUND	
aceton	-	+	3	n	aeo	o		"lotna ciecz o ostrym zapachu, mająca szerokie zastosowanie w przemyśle"	вещество
acetyl	-	+	3	l	aey	y		NOT FOUND	
acetylen	-	+	4	n	aeye	e	en	"gaz palny, stosowany m.in. do spawania i cięcia metali"	вещество
acetylenek	-	+	5	k	aeyee	e	ek	"związek chemiczny otrzymywany z acetylenu"	вещество
acetyloaceton	-	+	7	n	aeyoaeo	o		NOT FOUND	
acetyloceluloid	-	+	8	d	aeyoeuoi	i		NOT FOUND	
acetylofosforan	-	+	7	n	aeyoooa	a		NOT FOUND	
acetylokoenzym	-	+	7	m	aeyooey	y		NOT FOUND	
achimenes	+	-	4	s	aiee	e		NOT FOUND	
achondryt	-	+	3	t	aoy	y		"meteoryt kamienny"	
achromat	-	+	3	t	aoa	a		"układ dwóch soczewek redukujący zjawisko aberracji chromatycznej"	
achromatyzm	-	+	4	zm	aoay	y	yzm	NOT FOUND	
achtel	+	-	2	l	ae	e		"dawna miara ciał płynnych i sypkich"	
achterdek	-	+	3	k	aee	e	ek	"tylna, rufowa część pokładu"	артефакт
achterluk	-	+	3	k	aeu	u		"otwór w pokładzie na rufie"	артефакт
achterpik	+	+	3	k	aei	i		"tylna część statku oddzielona od reszty wodoszczelną przegrodą"	артефакт
achtersztag	-	+	3	g	aea	a		"lina stalowa biegnąca od topu masztu do rufy"	
acidofil	+	+	4	l	aioi	i		"organizm, który najkorzystniejsze warunki rozwoju znajduje w glebach lub wodach kwaśnych"	
acting-out	-	+	4	t	aiou	u		NOT FOUND	
acydofil	+	+	4	l	ayoi	i		"organizm, który najkorzystniejsze warunki rozwoju znajduje w glebach lub wodach kwaśnych"	
acydofit	-	+	4	t	ayoi	i		"roślina występująca wyłącznie w środowisku kwaśnym"	растение
acydofob	+	-	4	b	ayoo	o		"roślina wapieniolubna"	растение
acyklowir	-	+	4	r	ayoi	i		NOT FOUND	
acyl	-	+	2	l	ay	y		NOT FOUND	
acyloglicerol	-	+	6	l	ayoieo	o		NOT FOUND	
acylokoenzym	-	+	6	m	ayooey	y		NOT FOUND	
adalat	-	+	3	t	aaa	a		NOT FOUND	
adamantan	-	+	4	n	aaaa	a		NOT FOUND	
adamaszek	-	+	4	k	aaae	e	ek	"tkanina o wzorze z jednej strony matowym na błyszczącym tle, z drugiej błyszczącym na matowym tle"	артефакт
adamellit	-	+	4	t	aaei	i		NOT FOUND	
adamsyt	-	+	3	t	aay	y		"bojowy środek trujący"	
adaptacjonizm	-	+	5	zm	aaaoi	i	izm	NOT FOUND	
adapter	+	+	3	r	aae	e	er	"urządzenie w gramofonie, służące do odczytywania dźwięku zapisanego na płycie gramofonowej"	артефакт
adaptometr	-	+	4	tr	aaoe	e		"przyrząd do badania zdolności przystosowania się wzroku do ciemności"	артефакт
adat	-	+	2	t	aa	a		NOT FOUND	
adcult	-	+	2	lt	au	u		NOT FOUND	
addend	+	-	2	nd	ae	e		"dodatkowe informacje uzupełniające jakiś tekst"	
adduktor	+	-	3	r	auo	o		"mięsień przywodzący kończynę do osi ciała"	
adenoid	-	+	4	d	aeoi	i		"migdałek gardłowy"	
adenotom	-	+	4	m	aeoo	o		NOT FOUND	
adenowirus	+	-	5	s	aeoiu	u		"wirus występujący w wielu odmianach"	
adenozynodifosforan	-	+	9	n	aeoyoiooa	a		NOT FOUND	
adenozynomonofosforan	-	+	10	n	aeoyoooooa	a		NOT FOUND	
adenozynotrifosforan	-	+	9	n	aeoyoiooa	a		NOT FOUND	
adenozynotrójfosforan	-	+	9	n	aeoyoóooa	a		NOT FOUND	
adenylan	-	+	4	n	aeya	a		NOT FOUND	
adiabatyzm	-	+	5	zm	aiaay	y	yzm	NOT FOUND	
adiantyt	-	+	4	t	aiay	y		"kopalna paproć"	
adidas	+	-	3	s	aia	a		"but sportowy na grubej gumowej podeszwie"	артефакт
adinol	-	+	3	l	aio	o		NOT FOUND	
adipocyt	-	+	4	t	aioy	y		NOT FOUND	
adiuwant	+	-	4	nt	aiua	a		NOT FOUND	
adjuwant	+	-	3	nt	aua	a		NOT FOUND	
adleryzm	-	+	3	zm	aey	y	yzm	"kierunek w psychoanalizie, według którego motorem działania człowieka jest dążenie do sukcesu"	абстрактное понятие
adonik	-	+	3	k	aoi	i		"w poezji antycznej: wiersz używany pierwotnie w inwokacjach do Adonisa"	
adonis	+	-	3	s	aoi	i		"ukochany Afrodyty słynący z urody"	
adopcjanizm	-	+	4	zm	aoai	i	izm	"teoria głosząca, że Chrystus jako człowiek jest Synem Bożym jedynie na mocy przybrania"	абстрактное понятие
adres	-	+	2	s	ae	e		"miejsce zamieszkania osoby lub siedziba instytucji"	
adresik	-	+	3	k	aei	i	ik	NOT FOUND	
adresograf	-	+	4	f	aeoa	a		NOT FOUND	артефакт
adsorbat	-	+	3	t	aoa	a		"substancja ulegająca zagęszczeniu w procesie adsorpcji"	вещество
adsorbent	-	+	3	nt	aoe	e		"substancja, na której powierzchni zachodzi adsorpcja"	вещество
adsorber	+	-	3	r	aoe	e	er	"urządzenie służące do oddzielania składników z mieszaniny gazowej lub ciekłej"	артефакт
adstrat	-	+	2	t	aa	a		"język, który w wyniku dwujęzyczności danej społeczności zaopatruje drugi język w kalki językowe"	
adular	-	+	3	r	aua	a		NOT FOUND	
adwent	-	+	2	nt	ae	e		"okres czterech tygodni poprzedzających święto Bożego Narodzenia"	
adwentyzm	-	+	3	zm	aey	y	yzm	"doktryna religijna adwentystów"	абстрактное понятие
adypinian	-	+	5	n	ayiia	a		NOT FOUND	
adypocyt	-	+	4	t	ayoy	y		NOT FOUND	
adyton	-	+	3	n	ayo	o		"miejsce w sanktuarium greckim dostępne tylko kapłanom lub osobom wybranym"	
aegikranion	-	+	6	n	aeiaio	o		"starożytny element dekoracyjny w kształcie głowy kozy lub barana"	артефакт
aeolodikon	-	+	6	n	aeooio	o		NOT FOUND	
aeolodion	-	+	6	n	aeooio	o		NOT FOUND	
aeolomelodikon	-	+	8	n	aeooeoio	o		NOT FOUND	
aeolopantaleon	-	+	8	n	aeooaaeo	o		NOT FOUND	
aeral	-	+	3	l	aea	a		NOT FOUND	
aerator	+	-	4	r	aeao	o		"narzędzie ogrodnicze do spulchniania ziemi"	артефакт
aerob	+	-	3	b	aeo	o		NOT FOUND	
aerobic	-	+	4	c	aeoi	i		NOT FOUND	
aerobik	-	+	4	k	aeoi	i	ik	"intensywna gimnastyka wykonywana w takt muzyki"	
aerobiont	+	-	5	nt	aeoio	o		"organizm mogący żyć tylko w obecności tlenu atmosferycznego"	
aerobus	-	+	4	s	aeou	u	us	"samolot przeznaczony do przewozu dużej liczby pasażerów"	артефакт
aerodrom	-	+	4	m	aeoo	o		"lotnisko"	
aeroembolizm	-	+	6	zm	aeoeoi	i	izm	NOT FOUND	
aerofiltr	+	+	4	ltr	aeoi	i		NOT FOUND	артефакт
aerofon	-	+	4	n	aeoo	o		"instrument dęty"	артефакт
aerofor	+	+	4	r	aeoo	o		NOT FOUND	
aerograf	-	+	4	f	aeoa	a		"przyrząd do rozpylania farb za pomocą sprężonego powietrza"	артефакт
aeroklub	-	+	4	b	aeou	u		"organizacja zrzeszająca pilotów sportowych, skoczków spadochronowych i modelarzy lotnictwa"	
aerolit	-	+	4	t	aeoi	i		"kamienny meteoryt"	
aerometr	+	+	4	tr	aeoe	e		NOT FOUND	артефакт
aeroplan	-	+	4	n	aeoa	a		"samolot"	артефакт
aeroplankton	-	+	5	n	aeoao	o		"mikroorganizmy zwierzęce i roślinne unoszące się biernie w powietrzu"	
aeroport	-	+	4	rt	aeoo	o		"lotnisko"	
aerosiew	-	+	5	w	aeoie	e		"wysiewanie nasion lub rozsypywanie nawozów z samolotu"	
aeroskop	-	+	4	p	aeoo	o		"pierwsza ręczna kamera zdjęciowa"	
aerosol	-	+	4	l	aeoo	o		"zawiesina powstająca w wyniku rozproszenia ciała stałego albo cieczy w ośrodku gazowym"	артефакт
aerostat	-	+	4	t	aeoa	a		"statek powietrzny lżejszy od powietrza, które sobą wypiera, np. balon lub sterowiec"	артефакт
aerostep	-	+	4	p	aeoe	e		"ćwiczenia gimnastyczne, podczas których używa się specjalnego schodka"	
aerotropizm	-	+	5	zm	aeooi	i	izm	NOT FOUND	
aerozol	-	+	4	l	aeoo	o		"zawiesina powstająca w wyniku rozproszenia ciała stałego albo cieczy w ośrodku gazowym"	артефакт
aeroślizg	-	+	4	zg	aeoi	i		NOT FOUND	
aerożel	-	+	4	l	aeoe	e		NOT FOUND	
afekt	-	+	2	kt	ae	e		"stan silnego wzburzenia"	
affidavit	-	+	4	t	aiai	i		"oświadczenie złożone pod przysięgą"	
afgan	+	-	2	n	aa	a		"kobierzec pochodzący z Azji Środkowej"	
aficyd	-	+	3	d	aiy	y		"środek owadobójczy przeciwko mszycom"	
afiks	-	+	2	ks	ai	i		"cząstka słowotwórcza wyrazu"	
afisz	+	-	2	sz	ai	i		"plakat powiadamiający o imprezie publicznej lub akcji"	артефакт
aflaston	-	+	3	n	aao	o		"rzeźba zdobiąca dziób statku"	
afodos	-	+	3	s	aoo	o		NOT FOUND	
aforyzm	-	+	3	zm	aoy	y	yzm	"maksyma, sentencja"	
afrikaans	-	-	4	ns	aiaa	a		"jeden z języków urzędowych Republiki Południowej Afryki, Namibii i Zimbabwe"	
afrodyzjak	-	+	4	k	aoya	a		"środek wzmagający aktywność seksualną"	
afront	-	+	2	nt	ao	o		"zniewaga"	
afrorock	+	-	3	ck	aoo	o		NOT FOUND	
afrykanizm	-	+	4	zm	ayai	i	izm	NOT FOUND	
afterbeat	-	+	4	t	aeea	a		NOT FOUND	
afterpik	-	+	3	k	aei	i		NOT FOUND	
aftersztag	-	+	3	g	aea	a		NOT FOUND	
agalit	-	+	3	t	aai	i		NOT FOUND	
agalmatolit	-	+	5	t	aaaoi	i		"minerał używany do wyrobu drobnych przedmiotów ozdobnych"	
agamont	-	+	3	nt	aao	o		NOT FOUND	
agapant	-	+	3	nt	aaa	a		"lilia afrykańska"	
agar	-	+	2	r	aa	a		"galaretowata substancja uzyskiwana z wodorostów; też: wodorosty, z których się tę substancję otrzymuje"	вещество
agar-agar	-	+	4	r	aaaa	a		"galaretowata substancja uzyskiwana z wodorostów; też: wodorosty, z których się tę substancję otrzymuje"	вещество
agat	-	+	2	t	aa	a		"minerał o różnobarwych pasmach używany w jubilerstwie"	
agatis	-	+	3	s	aai	i	is	NOT FOUND	
agażant	-	+	3	nt	aaa	a		NOT FOUND	
agitator	+	-	4	r	aiao	o		"zjednywanie zwolenników dla jakiejś sprawy"	
aglikon	-	+	3	n	aio	o		NOT FOUND	
aglomerat	-	+	4	t	aoea	a		"zlepek"	
agloporyt	-	+	4	t	aooy	y		NOT FOUND	
aglutynant	-	+	4	nt	auya	a		NOT FOUND	
aglutynogen	-	+	5	n	auyoe	e		NOT FOUND	
agnatyzm	-	+	3	zm	aay	y	yzm	NOT FOUND	
agnostycyzm	-	+	4	zm	aoyy	y	yzm	"pogląd filozoficzny negujący całkowicie lub częściowo możliwość poznania bytu"	
agnus	+	-	2	s	au	u		"medalionik z wosku z odciskiem baranka, symbolizującego Chrystusa"	артефакт
agon	-	+	2	n	ao	o		NOT FOUND	
agonadyzm	-	+	4	zm	aoay	y	yzm	NOT FOUND	
agrafon	-	+	3	n	aao	o		"słowa i poglądy przypisywane Jezusowi, niezapisane w Nowym Testamencie"	
agramatyzm	-	+	4	zm	aaay	y	yzm	"niezdolność do prawidłowego łączenia wyrazów w zdania"	
agranulocyt	-	+	5	t	aauoy	y		"krwinka biała niezawierająca ziarnistości w cytoplazmie"	
agraryzm	-	+	3	zm	aay	y	yzm	"doktryna społeczna i oparty na niej ruch społeczno-polityczny, głoszący, że podstawą gospodarki jest rolnictwo"	абстрактное понятие
agregat	-	+	3	t	aea	a		"całość powstała przez złączenie niejednorodnych części"	артефакт
agregator	+	-	4	r	aeao	o	or	NOT FOUND	
agrest	-	+	2	st	ae	e		"krzew o kolczastych pędach i drobnych jadalnych owocach; też: owoc tego krzewu"	растение
agrestnik	+	-	3	k	aei	i	nik	NOT FOUND	
agrestowiec	+	-	5	c	aeoie	e	iec	NOT FOUND	
agreśniak	-	+	4	k	aeia	a		NOT FOUND	
agriofit	-	+	4	t	aioi	i		NOT FOUND	
agrobiznes	-	+	4	s	aoie	e		"działalność gospodarcza obejmująca produkcję rolną, przetwórstwo i handel artykułami rolnymi"	
agroekosystem	-	+	6	m	aoeoye	e		"zespół organizmów roślinnych i zwierzęcych ukształtowany w wyniku działalności człowieka"	
agrogaz	-	+	3	z	aoa	a		NOT FOUND	
agrokombinat	-	+	5	t	aooia	a		NOT FOUND	
agrokompleks	-	+	4	ks	aooe	e		NOT FOUND	
agrometr	-	+	3	tr	aoe	e		NOT FOUND	
agroturyzm	-	+	4	zm	aouy	y	yzm	NOT FOUND	
ahistorycyzm	-	+	5	zm	aioyy	y	yzm	"interpretowanie faktów i zjawisk społecznych w oderwaniu od warunków rozwoju historycznego"	
ahistoryzm	-	+	4	zm	aioy	y	yzm	"interpretowanie faktów i zjawisk społecznych w oderwaniu od warunków rozwoju historycznego"	
aids	+	-	2	ds	ai	i		"choroba zakaźna wywoływana przez wirus HIV"	
aigikranion	+	+	6	n	aiiaio	o		NOT FOUND	
ailant	-	+	3	nt	aia	a		NOT FOUND	
aintelektualizm	-	+	7	zm	aieeuai	i	izm	"postawa filozoficzna negująca rolę rozumu w poznaniu i w życiu"	
aioli	-	-	4		aioi	i		"francuski sos z majonezu i czosnku"	артефакт
airbag	-	+	3	g	aia	a		"poduszka powietrzna"	артефакт
airbus	-	+	3	s	aiu	u		NOT FOUND	артефакт
ajer	-	+	2	r	ae	e		"tatarak"	
ajerkoniak	-	+	5	k	aeoia	a		"likier sporządzony ze spirytusu, żółtek, cukru i wanilii"	артефакт
ajlant	-	+	2	nt	aa	a		NOT FOUND	
ajmak	+	-	2	k	aa	a		NOT FOUND	
ajnsztajn	+	+	2	jn	aa	a		"wielkość charakteryzująca światło"	
ajowan	+	-	3	n	aoa	a		NOT FOUND	
ajran	-	+	2	n	aa	a		"turecki napój ze słonego jogurtu, lodu i wody"	артефакт
ajwar	-	+	2	r	aa	a		"pasta z bakłażanów, papryki, czosnku i octu"	артефакт
akacjowiec	+	-	5	c	aaoie	e	iec	NOT FOUND	
akademik	+	-	4	k	aaei	i		"członek akademii – instytucji skupiającej uczonych lub artystów"	
akademizm	-	+	4	zm	aaei	i	izm	"kierunek w sztuce polegający na stosowaniu reguł estetyki antycznej"	абстрактное понятие
akant	-	+	2	nt	aa	a		"roślina ozdobna o dużych, głęboko wciętych liściach"	растение
akapicik	+	+	4	k	aaii	i		NOT FOUND	
akapit	-	+	3	t	aai	i		"ustęp tekstu zaczynający się od nowego wiersza"	
akaroid	-	+	4	d	aaoi	i		NOT FOUND	
akarycyd	-	+	4	d	aayy	y		"środek chemiczny niszczący roztocza"	
akatyst	-	+	3	st	aay	y		"w liturgii bizantyjskiej: nabożeństwo ku czci Bogurodzicy, Chrystusa i świętych"	
akaustobiolit	-	+	7	t	aauoioi	i		"niepalna skała osadowa pochodzenia organicznego"	вещество
akcelerator	+	-	5	r	aeeao	o		"urządzenie do przyśpieszania naładowanych elektrycznie cząstek"	артефакт
akcelerograf	-	+	5	f	aeeoa	a		NOT FOUND	
akcelerometr	-	+	5	tr	aeeoe	e		NOT FOUND	
akcencik	-	+	3	k	aei	i		"wyróżnienie sylaby w wyrazie lub wyrazu w zdaniu za pomocą nasilenia głosu"	
akcent	-	+	2	nt	ae	e		"wyróżnienie sylaby w wyrazie lub wyrazu w zdaniu za pomocą nasilenia głosu"	
akcept	-	+	2	pt	ae	e		"zobowiązanie się do uiszczenia na zlecenie sumy wymienionej na wekslu lub czeku"	
akceptor	+	-	3	r	aeo	o	or	"w półprzewodniku: atom domieszki lub defekt sieci krystalicznej, wychwytujący elektron z pasma walencyjnego"	
akces	-	+	2	s	ae	e		"gotowość do udziału w czymś"	
akcesyt	-	+	3	t	aey	y	yt	NOT FOUND	
akcik	-	+	2	k	ai	i		NOT FOUND	
akcjogram	-	+	3	m	aoa	a		"graficzne przedstawie notowań akcji przedsiębiorstwa na giełdzie"	
akcjonariat	-	+	5	t	aoaia	a		"forma własności przedsiębiorstwa polegająca na tym, że pracownicy są właścicielami części jego akcji"	
akcjonizm	-	+	3	zm	aoi	i	izm	"nurt w sztuce współczesnej mający zbliżyć sztukę do codziennego życia"	
akcydens	-	+	3	ns	aye	e		"druk okolicznościowy"	
akcydensik	-	+	4	k	ayei	i	ik	NOT FOUND	
akcydentalizm	-	+	5	zm	ayeai	i	izm	"pogląd filozoficzny uznający bieg zdarzeń lub myśli za nieprzewidywalny"	
akinakes	+	-	4	s	aiae	e		"krótki obosieczny miecz z brązu, z poprzeczną sztabką u końca rękojeści, charakterystyczny dla kultury Scytów"	
akmeizm	-	+	3	zm	aei	i	izm	"kierunek w poezji rosyjskiej przeciwstawiający się symbolizmowi"	абстрактное понятие
akognitywizm	-	+	5	zm	aoiyi	i	izm	"pogląd zakładający, że wartości nie mogą być przedmiotem ludzkiego poznania, lecz jedynie kreacji"	
akolitat	-	+	4	t	aoia	a		"obrzęd ustanowienia kogoś akolitą"	
akolut	-	+	3	t	aou	u		"w filozofii: doświadczenie zmysłowe wywołujące przekonanie, że występuje po jakimś wcześniejszym zdarzeniu"	
akompaniament	-	+	6	nt	aoaiae	e		"partia instrumentalna utworu towarzysząca i podporządkowana partii głównej"	
akonit	-	+	3	t	aoi	i		NOT FOUND	
akord	-	+	2	rd	ao	o		"współbrzmienie co najmniej trzech różnych dźwięków"	
akordeon	-	+	4	n	aoeo	o		"instrument muzyczny, harmonia ręczna"	артефакт
akordeonik	-	+	5	k	aoeoi	i		NOT FOUND	
akordzik	+	-	3	k	aoi	i	zik	NOT FOUND	
akr	+	-	1	kr	a	a		"w krajach anglosaskich jednostka powierzchni gruntów równa 4047 m²"	единица измерения
akratofor	-	+	4	r	aaoo	o		NOT FOUND	
akrodontyzm	-	+	4	zm	aooy	y	yzm	NOT FOUND	
akrolit	-	+	3	t	aoi	i		"w sztuce starożytnej Grecji: posąg wykonany z dwóch materiałów"	артефакт
akromonogram	-	+	5	m	aoooa	a		"utwór wierszowany, w którym każdy nowy wers zaczyna się od litery kończącej wers poprzedni"	
akron	-	+	2	n	ao	o	on	NOT FOUND	
akronim	-	+	3	m	aoi	i		"skrótowiec"	
akropol	-	+	3	l	aoo	o		"w starożytnej Grecji: część miasta położona na wzgórzu"	артефакт
akrosom	-	+	3	m	aoo	o		"twór pokrywający przednią część główki plemnika, zawierający substancje ułatwiające przenikanie plemnika do komórki jajowej"	артефакт
akrostych	-	+	3	ch	aoy	y		"utwór wierszowany, w którym początkowe litery lub słowa wersów albo zwrotek tworzą wyraz bądź zdanie"	
akroter	+	-	3	r	aoe	e	er	NOT FOUND	
akroterion	-	+	5	n	aoeio	o		"element dekoracyjny w postaci posągu, palmety, wazy itp., wieńczący wierzchołek i boczne narożniki frontonu budowli antycznych"	артефакт
akryl	-	+	2	l	ay	y	yl	"włókno syntetyczne, tworzywo sztuczne, lakier lub farba otrzymywane z żywic akrylowych"	артефакт
akrylan	-	+	3	n	aya	a		"ester kwasu akrylowego"	артефакт
akrylonitryl	-	+	5	l	ayoiy	y		"trująca ciecz o nieprzyjemnym zapachu"	вещество
aksamit	-	+	3	t	aai	i		"miękka tkanina z krótkim, strzyżonym włosem"	артефакт
aksamitek	+	-	4	k	aaie	e	ek	"wąska wstążka z aksamitu"	
aksamitowiec	+	-	6	c	aaioie	e	iec	NOT FOUND	
aksel	+	-	2	l	ae	e		"skok w łyżwiarstwie figurowym"	
akselbant	-	+	3	nt	aea	a		"pleciony sznur noszony na ramieniu przy mundurze oficerskim lub galowym"	артефакт
akseroftol	-	+	4	l	aeoo	o		"witamina A"	
aksjarchizm	-	+	3	zm	aai	i	izm	"pogląd filozoficzny zakładający, że wartości regulują lub wyjaśniają naturalny porządek rzeczy"	
aksjomat	-	+	3	t	aoa	a		"w logice: założenie, które przyjmuje się bez dowodu w systemie dedukcyjnym"	
aksjometr	-	+	3	tr	aoe	e		"przyrząd wskazujący w stopniach położenie steru w stosunku do płaszczyzny symetrii okrętu"	артефакт
aksometr	-	+	3	tr	aoe	e		"przyrząd okulistyczny do określania osi optycznej szkieł okularów i przystosowywania jej do osi optycznej oka"	артефакт
akson	-	+	2	n	ao	o		"wypustka komórki nerwowej, przewodząca bodźce od komórki na zewnątrz"	
aksonometr	-	+	4	tr	aooe	e		NOT FOUND	
aksostyl	-	+	3	l	aoy	y		NOT FOUND	
aksynit	-	+	3	t	ayi	i		"kamień półszlachetny"	
akt	-	+	1	kt	a	a		"czyn, działanie będące urzeczywistnieniem jakiegoś zamysłu lub spełnieniem jakiejś powinności albo przejawem czegoś"	
aktant	+	-	2	nt	aa	a	ant	NOT FOUND	
aktograf	-	+	3	f	aoa	a		"aparat rejestrujący ruchy ciała"	артефакт
aktogram	-	+	3	m	aoa	a		"wykres aktywności ruchowej organizmu zarejestrowany przez aktograf"	
aktorat	-	+	3	t	aoa	a		NOT FOUND	
aktualizm	-	+	4	zm	auai	i	izm	"doktryna filozoficzna usiłująca wyprowadzić świat rzeczy lub substancji z czystego stawania się (aktu)"	абстрактное понятие
aktuariat	-	+	5	t	auaia	a		NOT FOUND	
aktyn	-	+	2	n	ay	y	yn	"promieniotwórczy pierwiastek chemiczny"	
aktynograf	-	+	4	f	ayoa	a		"aktynometr wyposażony w urządzenie samopiszące"	артефакт
aktynolit	-	+	4	t	ayoi	i		"minerał o barwie zielonawej, występujący w skałach metamorficznych"	
aktynometr	-	+	4	tr	ayoe	e		"przyrząd do pomiaru natężenia promieniowania słonecznego"	артефакт
aktynon	-	+	3	n	ayo	o		"naturalny izotop promieniotwórczy radonu"	
aktynowiec	+	-	5	c	ayoie	e	iec	"każdy pierwiastek rodziny pierwiastków – ciężkich, promieniotwórczych metali"	
aktyw	-	+	2	w	ay	y	yw	"najbardziej aktywni członkowie jakiejś organizacji"	
aktywator	+	-	4	r	ayao	o		"substancja, która sama nie zmienia szybkości reakcji, ale dodana do katalizatora znacznie tę reakcję przyśpiesza"	вещество
aktywizm	-	+	3	zm	ayi	i	ywizm	"czynna postawa wobec życia"	
akubus	-	+	3	s	auu	u		NOT FOUND	
akumulator	+	-	5	r	auuao	o		"urządzenie do magazynowania energii elektrycznej, mechanicznej lub cieplnej"	артефакт
akumulatorek	+	-	6	k	auuaoe	e	ek	"urządzenie do magazynowania energii elektrycznej, mechanicznej lub cieplnej"	артефакт
akupunkt	-	+	3	nkt	auu	u		"miejsce zakończeń nerwowych w skórze lub tkance podskórnej, które poddane nakłuciom, uciskom lub masażowi przenosi bodźce do określonych organów ciała"	
akut	-	+	2	t	au	u		"akcent samogłoski krótkiej o intonacji rosnącej"	
akuzatiwus	-	+	5	s	auaiu	u		"biernik"	
akuzator	+	-	4	r	auao	o		NOT FOUND	
akuzatyw	-	+	4	w	auay	y		"biernik"	
akwadag	-	+	3	g	aaa	a		NOT FOUND	
akwadukt	-	+	3	kt	aau	u		NOT FOUND	
